R, m,likelihood
11.72621,1.92259,2.19080126365417
13.07698,2.11886,24.2913012850098
14.14106,1.99164,6.41696131214025
12.86201,2.04035,7.58380100106173
13.04035,1.9908,1.5348935014144
15.2221,1.95693,1.03529743059884
13.75246,2.13057,1.27944318632531
14.39218,2.16186,8.43397881384522
17.90015,2.12074,27.693159789532
11.80626,2.10846,2.02963263649279
15.51158,2.10816,9.56681463339966
12.38183,2.14153,1.38007747754959
11.95786,2.07377,8.44209566582808
13.21111,2.07558,1.00634804345813
14.36067,1.99526,10.3973881760902
14.19073,2.04935,6.31943478975241
14.82541,2.12405,10.4126534564803
14.0988,2.076,4.24956866878012
12.85713,2.10308,2.56076044342128
11.72648,2.19902,0.265309555229755
13.03426,2.07035,8.6582335471917
13.19348,2.04979,16.8022044492237
11.85253,2.0005,14.6649068778413
13.90061,2.09312,5.18381819312833
16.16714,2.07079,12.1740400769399
15.31471,2.21095,1.75695975683677
16.98067,2.06607,2.00028804147797
12.16741,2.04415,4.58036945260005
14.16702,2.07797,11.7105617556474
14.75892,2.17897,1.83856988679925
20.48999,2.13847,1.91546662682496
12.76767,2.07326,17.3307221711929
13.14218,2.05062,43.8116100766703
15.72976,1.99662,4.04208620153033
15.17554,2.08291,3.48199114181453
13.45827,2.18808,0.594366357913156
14.56439,2.10475,32.3551299058466
13.79642,2.1027,1.64804377204259
13.88628,2.22432,0.301338878772273
12.76841,2.10266,9.6184366193119
16.45556,1.97313,13.3235627206715
15.69931,2.01871,4.18730659877647
11.45133,2.13161,0.320142706812989
12.27819,2.03654,4.15755469263198
11.67275,2.07297,1.93306940492391
12.45415,1.95078,4.74057218706298
12.85497,2.26441,0.158079848344517
11.57091,2.04479,1.25900661859779
12.60818,2.15336,16.6850201888744
14.11807,2.02034,13.3646958195231
13.40647,1.98292,1.35494011164707
16.94431,2.13612,4.97519863480549
13.74821,2.08675,2.52725007392206
11.87585,2.06407,6.98343529148859
11.9579,2.19194,3.00697618474862
14.23588,2.2743,1.83926988342707
17.53221,2.1397,12.058071673178
11.80855,2.13075,2.07261188477107
13.31341,2.18981,1.06553918413796
11.99493,2.01847,1.21528832715562
11.28353,1.89979,3.82168039286874
11.91985,2.15416,2.83528684597021
12.14187,2.04735,6.75474858825755
12.06209,2.06996,8.88359821262004
13.97444,2.00252,3.84346342175862
12.94652,2.12094,5.50173029417752
13.91172,2.03577,9.32940254506101
14.89623,2.18731,0.527853788723354
15.54944,2.08481,35.5846558963775
12.13595,1.93165,0.823760549283534
15.75792,2.1553,9.02649275623956
11.26373,1.98291,0.897475938670084
