m,R,likelihood
1.55962510561,13.6420401827,1.19326900817867
1.39297514434,13.5764435582,1.32320989549288
1.6949304918,15.6937828226,1.45312720239592
1.66828889991,15.4660698747,1.43380070456967
1.47497925338,13.0721091722,1.15852436434664
1.61522086516,14.7416876012,1.34543507333967
1.39851086183,13.2734503182,1.25980125375421
1.50692177912,12.9352338989,1.11034497307969
1.5249756546,13.6157317171,1.21567983855772
1.35177730518,13.0948243133,1.26851074301748
1.5421658942,13.3905182718,1.16268930035171
1.44073919661,14.361810933,1.43163717732688
1.33566847181,12.4473336019,1.15998918890076
1.46064071127,12.445302113,1.06039478497845
1.3107483545,14.2370078178,1.5463861728334
1.59319410531,14.5888182886,1.33589290413766
1.18198573619,11.1242772146,1.04696255224343
1.40595107092,12.334667545,1.08214333637776
1.38518009549,12.5283406726,1.1331329198909
1.66763547014,14.339533433,1.23301673573615
1.4547423949,12.5052271186,1.07497175511713
1.27454414365,12.2411633821,1.17568357182075
1.45936879682,14.9536815953,1.53225472815503
1.60676791353,14.6900462642,1.34305345889988
1.33327246748,11.9211288639,1.06589808308889
1.71098659898,14.6540758642,1.25507678559774
1.2658992542,12.2383327917,1.18316451547638
1.3888814592,12.9720227636,1.21157490198359
1.39806312593,12.4444066203,1.10769816997185
1.83266099779,14.6021891305,1.16346577839933
1.3801590571,12.3243488316,1.1005216472608
1.39134518033,12.5659300293,1.13489214552495
1.35341630493,12.3157294011,1.12069931637342
1.36775523842,13.0982979712,1.25435732375339
1.57502334693,13.8208798856,1.21278714251583
1.31705153923,12.1840501296,1.12714665079644
1.15831128387,12.1039527046,1.26482053461434
1.41491427404,12.3768600077,1.08265649258272
1.5122342386,13.934777115,1.28404649275541
1.41275874094,12.2331778297,1.05927939341425
1.45626963031,13.3867613607,1.2305783964579
1.48430377743,13.0498712661,1.14733371118857
1.4046584333,12.8013640934,1.16665286127447
1.64841320983,13.8239208414,1.15930200744736
1.42861310096,14.1200822241,1.39559550060011
1.61173942747,14.8794334068,1.37365656388053
1.43556479705,12.7209171492,1.12723431932519
1.40086686953,12.5504996257,1.1244116516033
1.47230367845,13.6975497669,1.27434963566344
1.50800844542,13.2082201862,1.15687048025164
1.46367315006,13.4568058532,1.23719962339643
1.31689872344,11.180436206,0.94921689606075
1.481049077,13.0198741134,1.14457465888814
1.31698307813,12.3625192936,1.1604697581581
1.10648711265,11.1288178704,1.11931318942697
1.40559161566,13.1153907348,1.22378050272903
1.57694294241,14.5265363056,1.33815962906215
1.59039312512,14.3456245402,1.2940008825086
1.64237446723,14.3204489949,1.24865145642706
1.52866631208,12.8103118825,1.07351195140856
1.53584920059,14.288940274,1.32938771060825
1.43117189372,13.4160774141,1.25764807233992
1.31490239527,12.3202669327,1.154374502176
